2023-10-22 05:53:00 - CPU Usage: 0.0%, Memory Usage: 7.0%
2023-10-22 05:56:00 - CPU Usage: 0.0%, Memory Usage: 7.0%
2023-10-22 05:59:01 - CPU Usage: 6.7%, Memory Usage: 7.0%
2023-10-22 06:02:01 - CPU Usage: 0.0%, Memory Usage: 7.0%
2023-10-22 06:05:01 - CPU Usage: 0.0%, Memory Usage: 7.0%
2023-10-22 06:08:02 - CPU Usage: 0.0%, Memory Usage: 7.0%
2023-10-22 06:11:02 - CPU Usage: 0.0%, Memory Usage: 7.0%
2023-10-22 06:14:02 - CPU Usage: 6.7%, Memory Usage: 7.0%
2023-10-22 06:17:03 - CPU Usage: 0.0%, Memory Usage: 7.1%
2023-10-22 06:20:03 - CPU Usage: 0.0%, Memory Usage: 7.1%
2023-10-22 06:23:03 - CPU Usage: 0.0%, Memory Usage: 7.1%
2023-10-22 06:26:04 - CPU Usage: 0.0%, Memory Usage: 7.1%
2023-10-22 06:29:04 - CPU Usage: 0.0%, Memory Usage: 7.1%
2023-10-22 06:32:04 - CPU Usage: 0.0%, Memory Usage: 7.1%
2023-10-22 06:35:05 - CPU Usage: 0.0%, Memory Usage: 7.1%
2023-10-22 06:38:05 - CPU Usage: 6.7%, Memory Usage: 7.1%
2023-10-22 06:41:05 - CPU Usage: 6.7%, Memory Usage: 7.1%
2023-10-22 06:44:05 - CPU Usage: 0.0%, Memory Usage: 7.1%
2023-10-22 06:47:06 - CPU Usage: 0.0%, Memory Usage: 7.1%
2023-10-22 06:50:06 - CPU Usage: 6.7%, Memory Usage: 7.1%
2023-10-22 06:53:06 - CPU Usage: 0.0%, Memory Usage: 7.1%
2023-10-22 06:56:07 - CPU Usage: 0.0%, Memory Usage: 7.1%
2023-10-22 06:59:07 - CPU Usage: 0.0%, Memory Usage: 7.1%
2023-10-22 07:02:07 - CPU Usage: 6.7%, Memory Usage: 7.1%
2023-10-22 07:05:08 - CPU Usage: 0.0%, Memory Usage: 7.1%
2023-10-22 07:08:08 - CPU Usage: 6.7%, Memory Usage: 7.1%
2023-10-22 07:11:08 - CPU Usage: 0.0%, Memory Usage: 7.1%
2023-10-22 07:14:09 - CPU Usage: 0.0%, Memory Usage: 7.1%
2023-10-22 07:17:09 - CPU Usage: 0.0%, Memory Usage: 7.1%
2023-10-22 07:20:09 - CPU Usage: 6.2%, Memory Usage: 7.1%
2023-10-22 07:23:10 - CPU Usage: 0.0%, Memory Usage: 7.1%
2023-10-22 07:26:10 - CPU Usage: 0.0%, Memory Usage: 7.1%
2023-10-22 07:29:10 - CPU Usage: 0.0%, Memory Usage: 7.1%
2023-10-22 07:32:11 - CPU Usage: 0.0%, Memory Usage: 7.1%
2023-10-22 07:35:11 - CPU Usage: 0.0%, Memory Usage: 7.1%
2023-10-22 07:38:11 - CPU Usage: 0.0%, Memory Usage: 7.1%
2023-10-22 07:41:12 - CPU Usage: 0.0%, Memory Usage: 7.2%
2023-10-22 07:44:12 - CPU Usage: 0.0%, Memory Usage: 7.2%
2023-10-22 07:47:12 - CPU Usage: 0.0%, Memory Usage: 7.2%
2023-10-22 07:50:13 - CPU Usage: 0.0%, Memory Usage: 7.2%
2023-10-22 07:53:13 - CPU Usage: 0.0%, Memory Usage: 7.2%
2023-10-22 07:56:13 - CPU Usage: 0.0%, Memory Usage: 7.2%
2023-10-22 07:59:14 - CPU Usage: 0.0%, Memory Usage: 7.2%
2023-10-22 08:02:14 - CPU Usage: 0.0%, Memory Usage: 7.2%
2023-10-22 08:05:14 - CPU Usage: 0.0%, Memory Usage: 7.2%
2023-10-22 08:08:14 - CPU Usage: 0.0%, Memory Usage: 7.2%
2023-10-22 08:11:15 - CPU Usage: 6.7%, Memory Usage: 7.2%
2023-10-22 08:14:15 - CPU Usage: 6.7%, Memory Usage: 7.2%
2023-10-22 08:17:15 - CPU Usage: 0.0%, Memory Usage: 7.2%
2023-10-22 08:20:16 - CPU Usage: 0.0%, Memory Usage: 7.2%
2023-10-22 08:23:16 - CPU Usage: 6.7%, Memory Usage: 7.2%
2023-10-22 08:26:16 - CPU Usage: 0.0%, Memory Usage: 7.2%
2023-10-22 08:29:17 - CPU Usage: 0.0%, Memory Usage: 7.2%
2023-10-22 08:32:17 - CPU Usage: 0.0%, Memory Usage: 7.2%
2023-10-22 08:35:17 - CPU Usage: 0.0%, Memory Usage: 7.2%
